frame,render_ms
1,47.2117
2,45.6905
3,45.8675
4,43.4769
5,42.5182
6,42.3685
7,44.0915
8,42.9344
9,42.0192
10,44.0582
11,42.8199
12,43.0439
13,43.628
14,39.92
15,42.9305
16,40.6714
17,44.1168
18,40.6175
19,44.8586
20,40.5358
21,43.4532
22,43.1048
23,42.825
24,42.5103
25,41.9736
26,45.229
27,40.7615
28,43.3071
29,43.4091
30,39.5454
31,43.4103
32,39.5435
33,42.9749
34,42.0743
35,42.9931
36,39.3338
37,41.1582
38,42.5891
39,42.7419
40,39.6552
41,43.8003
42,43.4674
43,42.3059
44,40.5374
45,42.853
46,42.7728
47,43.5814
48,40.9404
49,42.9332
50,41.1199
51,43.0194
52,41.7484
53,43.4781
54,43.288
55,39.0882
56,41.2568
57,42.7207
58,40.669
59,39.202
60,43.3375
61,43.5442
62,41.3448
63,38.6698
64,45.0303
65,38.1725
66,44.919
67,38.1854
68,42.7694
69,41.7075
70,40.7864
71,42.4114
72,43.8472
73,44.4564
74,44.4646
75,41.1253
76,42.3863
77,41.0645
78,42.9515
79,44.3132
80,38.1291
81,40.9297
82,42.9842
83,44.6654
84,38.1217
85,42.1039
86,42.441
87,44.181
88,38.2243
89,44.9153
90,38.8164
91,44.9979
92,38.3819
93,40.8796
94,42.1653
95,40.8511
96,42.2107
97,41.2719
98,42.7504
99,44.3711
100,37.9133
101,43.7772
102,40.0343
103,44.823
104,38.3491
105,44.7695
106,38.5379
107,44.5371
108,38.8116
109,40.7545
110,43.5771
111,44.3507
112,37.5947
113,40.7341
114,43.1775
115,41.0782
116,42.339
117,45.1559
118,38.2495
119,44.5446
120,43.9813
121,44.3798
122,40.8947
123,42.2076
124,40.6076
125,42.9045
126,44.6021
127,38.5664
128,41.3104
129,42.2732
130,44.9351
131,38.68
132,44.2526
133,40.8231
134,42.8331
135,38.7486
136,43.8033
137,38.6619
138,43.6485
139,42.732
140,41.5439
141,38.6237
142,43.7109
143,39.924
144,44.2236
145,39.8745
146,43.9287
147,38.7104
148,44.4037
149,38.484
150,43.0735
151,41.2523
152,40.9563
153,42.5472
154,40.9324
155,42.6701
156,43.583
157,38.6447
158,44.0126
159,38.4812
160,40.9091
161,42.3243
162,42.6945
163,42.7503
164,41.0208
165,42.1807
166,41.0935
167,42.4402
168,43.1634
169,39.3896
170,41.9821
171,43.2523
172,42.5318
173,37.9208
174,40.7733
175,42.7421
176,44.9796
177,37.9315
178,40.5219
179,43.0953
180,41.1516
181,42.5226
182,41.5944
183,43.5005
184,43.0048
185,38.4051
186,41.3417
187,42.0645
188,40.7341
189,42.4477
190,44.1985
191,38.2068
192,40.4412
193,43.7412
194,40.6645
195,42.459
196,40.785
197,42.0351
198,40.6532
199,43.1707
200,40.7576
201,42.6514
202,44.6947
203,42.2385
204,40.8646
205,38.9698
206,40.8168
207,42.4166
208,40.5766
209,42.5716
210,41.8097
211,42.9147
212,43.6611
213,38.287
214,41.5225
215,44.8862
216,43.008
217,39.2533
218,43.3994
219,39.3907
220,43.9572
221,37.8376
222,41.9132
223,43.4109
224,41.9134
225,39.6087
226,41.373
227,42.979
228,41.0043
229,40.8526
230,45.2235
231,37.9235
232,40.9726
233,42.4901
234,44.7947
235,42.923
236,44.575
237,43.0808
238,43.0109
239,43.7086
240,38.2722
241,44.4218
242,39.4612
243,43.7194
244,38.3475
245,44.2163
246,42.5987
247,42.3989
248,39.7249
249,43.2973
250,43.2171
251,45.1528
252,43.9975
253,39.8745
254,43.9007
255,40.7531
256,43.2165
257,42.5291
258,43.5234
259,41.208
260,43.8813
261,44.0418
262,39.1031
263,43.7855
264,43.8661
265,44.9078
266,43.3648
267,42.9811
268,41.8143
269,38.3984
270,43.3151
271,43.8297
272,44.1716
273,39.8154
274,45.5159
275,43.7658
276,40.0874
277,44.5389
278,43.5259
279,43.0234
280,41.7696
281,42.0263
282,42.1
283,43.873
284,44.2852
285,42.5207
286,43.7844
287,42.4542
288,43.2465
289,44.4455
290,38.3602
291,44.5628
292,42.4549
293,42.6344
294,38.872
295,43.1707
296,39.8708
297,42.1165
298,39.2207
299,44.1951
300,42.8504
301,43.2963
302,39.2134
303,43.138
304,39.7331
305,43.4685
306,39.3755
307,42.5582
308,38.5435
309,43.3131
310,42.313
311,42.8324
312,42.5843
313,44.1474
314,42.6133
315,43.0203
316,43.4737
317,39.1664
318,44.2538
319,42.1826
320,43.5408
321,39.8963
322,42.8161
323,38.9752
324,43.7105
325,42.935
326,43.174
327,39.2262
328,43.6914
329,40.5947
330,42.9031
331,41.3558
332,42.2723
333,43.0154
334,44.7961
335,42.617
336,39.4448
337,42.3608
338,42.2662
339,42.285
340,39.3499
341,42.9177
342,41.7987
343,41.6587
344,41.9546
345,41.6611
346,39.9027
347,42.2426
348,43.4233
349,42.0887
350,41.6065
351,43.7122
352,40.3334
353,43.1854
354,42.0156
355,43.1861
356,44.622
357,42.3098
358,42.5942
359,39.4004
360,42.9316
361,42.0214
362,43.2896
363,40.6248
364,42.6003
365,41.2643
366,43.2046
367,41.9551
368,42.9081
369,44.2551
370,42.9541
371,44.4059
372,42.2045
373,42.6751
374,44.7079
375,42.3649
376,42.1047
377,42.0853
378,43.2408
379,42.6095
380,42.1133
381,42.6207
382,43.0163
383,42.33
384,43.321
385,42.6795
386,42.471
387,42.0891
388,41.8609
389,42.3633
390,44.2589
391,43.866
392,42.5881
393,43.5258
394,42.2205
395,41.1312
396,41.7145
397,43.5555
398,42.1028
399,43.533
400,42.8778
401,40.5452
402,43.2179
403,43.3255
404,42.8503
405,42.6567
406,42.3733
407,43.6732
408,40.7631
409,43.9769
410,42.5172
411,41.81
412,43.9247
413,41.5033
414,40.7878
415,42.6084
416,40.9646
417,43.1207
418,42.1881
419,43.8485
420,43.3797
421,43.0062
422,42.7851
423,41.5367
424,42.7514
425,41.9572
426,44.4897
427,42.5843
428,42.9796
429,40.1415
430,41.9699
431,43.2507
432,43.2765
433,44.461
434,42.4107
435,42.2328
436,40.5331
437,42.4604
438,40.4328
439,43.0038
440,40.966
441,43.2736
442,40.4048
443,43.8801
444,42.9225
445,42.7239
446,43.1476
447,39.4115
448,40.8965
449,42.8093
450,42.5705
451,43.7248
452,42.2313
453,39.4942
454,43.9821
455,40.7783
456,39.9216
457,40.7173
458,39.5259
459,43.1547
460,41.6118
461,43.183
462,44.8016
463,40.3973
464,44.8806
465,44.8878
466,38.9727
467,43.2277
468,42.6321
469,42.5297
470,39.1081
471,40.7467
472,43.9061
473,41.0072
474,42.6591
475,42.3485
476,38.073
477,40.6625
478,44.014
479,42.4197
480,38.7507
481,43.6665
482,43.3435
483,44.0131
484,43.0097
485,43.0811
486,41.1154
487,43.2667
488,43.5847
489,38.945
490,44.8633
491,39.0999
492,44.5534
493,39.4399
494,43.846
495,38.6703
496,44.537
497,38.6755
498,44.7822
499,38.415
500,44.9493
501,38.2902
502,44.634
503,38.7437
504,43.607
505,39.2173
506,42.9823
507,42.402
508,43.61
509,42.5606
510,43.6526
511,38.9356
512,42.5148
513,39.5755
514,43.3329
