frame,render_ms
1,32.8598
2,32.3196
3,32.4287
4,33.702
5,31.8742
6,29.2375
7,24.7641
8,29.5731
9,28.4501
10,25.3807
11,29.3278
12,29.2281
13,24.8034
14,29.2771
15,28.8782
16,25.2823
17,29.0236
18,29.1283
19,24.6991
20,29.5237
21,28.9482
22,24.6107
23,29.2403
24,28.628
25,25.6569
26,29.48
27,28.8379
28,25.1304
29,29.1929
30,28.8194
31,25.2317
32,29.4471
33,29.3808
34,24.5557
35,29.308
36,28.4748
37,25.3658
38,28.9941
39,28.4735
40,24.9427
41,29.6916
42,29.0644
43,25.5017
44,28.6554
45,28.2301
46,25.8274
47,29.7009
48,28.757
49,25.3961
50,29.0914
51,28.587
52,25.1914
53,29.3188
54,28.725
55,25.1378
56,29.3619
57,28.4496
58,25.5625
59,29.4559
60,28.2693
61,25.5513
62,29.7318
63,28.5681
64,25.1202
65,29.4406
66,29.1632
67,24.9949
68,29.3172
69,28.7994
70,24.8532
71,29.366
72,29.2347
73,24.4679
74,29.5147
75,28.8251
76,25.1371
77,29.4599
78,29.1588
79,24.4823
80,29.4624
81,28.3365
82,25.5594
83,29.071
84,28.5182
85,29.9307
86,28.5949
87,29.6417
88,28.1613
89,25.4191
90,29.6491
91,27.3677
92,29.7173
93,28.4478
94,30.704
95,26.3866
96,28.6569
97,28.7535
98,27.7541
99,25.9254
100,29.1129
101,27.047
102,29.557
103,29.1594
104,30.8195
105,27.5204
106,25.8444
107,29.9872
108,27.2783
109,28.2336
110,27.6381
111,26.7829
112,28.5955
113,27.9167
114,26.9274
115,28.6779
116,29.7936
117,29.4824
118,26.5421
119,30.3348
120,28.5809
121,27.6128
122,25.8326
123,29.4421
124,27.7378
125,25.8034
126,29.6456
127,26.6367
128,29.2852
129,28.679
130,29.2577
131,28.3422
132,29.6567
133,29.3539
134,28.8194
135,25.1229
136,29.5167
137,29.414
138,24.8709
139,28.7742
140,29.8327
141,24.4481
142,30.225
143,31.193
144,28.6508
145,24.9906
146,29.9007
147,28.3418
148,24.9941
149,29.8356
150,27.3973
151,29.0081
152,29.1811
153,30.8626
154,28.3993
155,28.6021
156,29.4003
157,30.4615
158,28.8548
159,25.5032
160,29.5482
161,29.5357
162,24.2975
163,29.0946
164,29.3167
165,24.4593
166,29.1841
167,27.2691
168,26.1501
169,29.8344
170,28.4919
171,25.2929
172,29.3281
173,27.3794
174,28.1116
175,29.8662
176,30.5547
177,25.7764
178,30.2922
179,29.4454
180,30.152
181,24.8662
182,28.8019
183,30.7729
184,26.1988
185,29.164
186,29.1883
187,28.3183
188,24.8588
189,29.7192
190,28.4918
191,25.2137
192,29.3356
193,27.7337
194,28.2673
195,28.7203
196,29.947
197,25.0106
198,28.5249
199,30.6221
200,25.4688
201,29.8699
202,28.9719
203,27.6662
204,28.6355
205,28.7739
206,30.4277
207,25.2397
208,29.7424
209,29.3926
210,28.1269
211,25.4207
212,29.224
213,26.5793
214,28.8865
215,29.0837
216,29.393
217,24.5658
218,28.6606
219,27.6214
220,28.7138
221,29.1684
222,30.7761
223,26.7225
224,29.6233
225,28.9571
226,30.7331
227,26.0849
228,30.0851
229,28.4161
230,28.2694
231,25.45
232,29.0932
233,26.8396
234,28.4256
235,27.4486
236,27.0788
237,29.1006
238,27.4108
239,26.6117
240,29.1091
241,29.2907
242,29.9951
243,24.8231
244,28.8766
245,30.6166
246,25.1883
247,28.6455
248,29.8311
249,25.8707
250,29.3709
251,28.6377
252,27.7437
253,29.3575
254,28.4298
255,30.972
256,27.281
257,28.4114
258,28.7899
259,28.9878
260,24.4537
261,29.1079
262,27.8659
263,28.8303
264,29.7043
265,29.9586
266,26.9577
267,29.1227
268,28.7034
269,30.6592
270,25.3633
271,30.1632
272,29.1696
273,27.9395
274,29.3812
275,30.7278
276,28.966
277,28.5049
278,24.9031
279,29.2934
280,27.5772
281,29.4608
282,29.7594
283,29.7893
284,27.8011
285,29.6533
286,30.6796
287,28.8684
288,28.5515
289,28.9684
290,30.4509
291,27.5662
292,26.649
293,29.2943
294,30.5712
295,30.156
296,25.7234
297,30.5391
298,28.68
299,28.4051
300,24.9746
301,27.2993
302,24.8602
303,25.6482
304,25.7642
305,25.8585
306,27.45
307,29.0833
308,27.6521
309,29.485
310,24.0522
311,27.3972
312,25.6531
313,25.5661
314,27.3801
315,29.391
316,25.2545
317,26.3495
318,27.2616
319,30.0522
320,30.1387
321,28.8792
322,28.5676
323,28.5938
324,26.2343
325,29.1449
326,29.0115
327,27.9861
328,29.5552
329,28.7271
330,30.3863
331,27.7801
332,29.1372
333,28.6026
